timestamp,data_apuracao,ano,mes_num,mes,instituicao_fin,resumo,tipo,nome,qtd,preco_medio,preco_atual,valor_total,aporte,exposicao
2026-05-31 12:37:39,2026-05-31,2026,5,Mai,XP,"stock | carteira automatizada | 1 | 18000,00 | 21626,45",stock,CARTEIRA AUTOMATIZADA,1.0,18000.0,21626.45,21626.45,0.0,nacional
2026-05-31 12:37:39,2026-05-31,2026,5,Mai,XP,"renda fixa | Tesouro IPCA + 2040 | 1 | 30010,30 | 29934,93",renda fixa,tesouro ipca + 2040,1.0,30010.3,29934.93,29934.93,0.0,nacional
2026-05-31 12:37:39,2026-05-31,2026,5,Mai,XP,"renda fixa | CDB Digimais Jul/2029 | 1 | 11000,00 | 11553,19",renda fixa,cdb digimais jul/2029,1.0,11000.0,11553.19,11553.19,0.0,nacional
2026-05-31 12:40:56,2026-05-31,2026,5,Mai,NUBANK,"renda fixa | Fundo de Emergencia | 1 | 13000,00 | 15192,89",renda fixa,fundo de emergencia,1.0,13000.0,15192.89,15192.89,0.0,nacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | BOVA11 | 57 | 175,22 | ",stock,BOVA11,57.0,175.22,170.75,9732.75,0.0,nacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | IVVB11 | 11 | 376,85 |",stock,IVVB11,11.0,376.85,430.4,4734.4,0.0,internacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | BERK34 | 22 | 130,09 |  ",stock,BERK34,22.0,130.09,119.35,2625.7,0.0,internacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | OPCT3 | 155 | 4,23 |",stock,OPCT3,155.0,4.23,10.65,1650.75,0.0,nacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | RAIZ4 | 900 | 7,09 | ",stock,RAIZ4,900.0,7.09,0.36,324.0,0.0,nacional
2026-05-31 12:45:49,2026-05-31,2026,5,Mai,CLEAR,"stock | AMER3 | 4 | 85,65 | ",stock,AMER3,4.0,85.65,5.05,20.2,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | XRP | 285,98 | 5,072 | 6,722",cripto,xrp,285.98,5.072,6.722,1922.36,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | ADA | 1549,19 | 3,877 | 1,183",cripto,ada,1549.19,3.877,1.183,1832.69,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | ETH | 0,1049 | 11921,41 | 10149,38",cripto,eth,0.1049,11921.41,10149.38,1064.67,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | SHIB | 7370000 | 0,00004061 | 0,00002756",cripto,shib,7370000.0,4.061e-05,2.756e-05,203.12,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | SOL | 0,45 | 1146,4 | 413,82",cripto,sol,0.45,1146.4,413.82,186.22,0.0,nacional
2026-05-31 13:02:09,2026-05-31,2026,5,Mai,BINANCE,"cripto | ALGO | 36 | 8,347 | 0,6438",cripto,algo,36.0,8.347,0.6438,23.18,0.0,nacional
